"geardn;futómű kint;futómű kint",
"gearup;futómű bent;futómű bent",
"flapsdn;fékszárny kint;fékszárny kint",
"flapsup;fékszárny fent;fékszárny fent",
"splrup;ívelőlap fent; ívelőlap fent",
"splrdn;ívelőlap lent; ívelőlap lent",
"trnon;vezérlés a tanulónál;vezérlés a tanulónál",
"trnoff;vezérlés az oktatónál;vezérlés az oktatónál",
"engoff;motor ki;motor kikapcsolva",
"tohigh;túl magas;túl magas",
"tolow;túl alacsony;túl alacsony",
"lowbat;lemerült az aksi;lemerült az aksi",
"crowon;madárfék bekapcsolva;madárfék bekapcsolva",
"crowof;madárfék kikapcsolva;madárfék kikapcsolva",
"siglow;rádió jel alcsony;rádió jel alcsony",
"sigcrt;rádió jel kritikusan alacsony;rádió jel kritikusan alacsony",
"spdmod;sebes;sebes",
"thmmod;termik;termik",
"nrmmod;normál;normál",
"lnding;leszállás;leszállás",
"acro;műrepülés;műrepülés",
"fm-1;1. repmód;1. repmód",
"fm-2;2. repmód;2. repmód",
"fm-3;3. repmód;3. repmód",
"fm-4;4. repmód;4. repmód",
"fm-5;5. repmód;5. repmód",
"fm-6;6. repmód;6. repmód",
"fm-7;7. repmód;7. repmód",
"fm-8;8. repmód;8. repmód",
"vrion;variométer bekapcsolva;variométer bekapcsolva",
"vrioff;variométer kikapcsolva;variométer kikapcsolva",
"fm-pwr;3D;3D",
"fm-lnd;leszállás;leszállás",
"fm-flt;lebegés;lebegés",
"fm-spd;sebes;sebes",
"fm-fst;gyors;gyors",
"fm-nrm;normál;normál",
"fm-crs;utazó;utazó",
"fm-acr;műrepülés;műrepülés",
"fm-rce;verseny;verseny",
"fm-lch;felszállás;felszállás",
"fm-png;pattogós;pattogós",
"fm-thm;termik;termik",
"fm-thml;termik balra;termik balra",
"fm-thmr;termik jobbra;termik jobbra",
"Spitfire;Spitfire;szpitfájőr",
"cf-arm;ARM;Élesítve",
"cf-darm;DISARM;Be biztosítva",
"cf-acro;ACRO;Műrepülés",
"cf-angle;ANGLE;Szint beállás",
"cf-horizon;HORIZON;Műrepülés szint beállással.",
"cf-baro;BARO;Magasságtartás",
"cf-mag;MAG;Iránytű bekapcsolva",
"cf-headfree;HEADFREE;Irányfüggetlen repülés",
"cf-headadj;HEADADJ;Irányállítás",
"cf-camstab;CAMSTAB;Kamera stabilizálás",
"cf-rth;GPSHOME;Hazatérés",
"cf-gps;GPSHOLD;Helybentartás",
"cf-pthru;PASSTHRU;Repülésvezérlő kikapcsolva",
"cf-sonar;SONAR;Szonár bekapcsolva",
"cf-tri;TELEMETRY;Telemetria engedélyezve",
"cf-blb;BLACKBOX;Feketedoboz felvétel el indítva",
"cf-failsafe;FAILSAFE;Biztonsági beállítások életbe léptek",
"cf-air;AIRMODE;Stabilizált műrepülés",
